query_category,query_text,wb_id,product_name,brand,price_rub,price_original_rub,discount_pct,rating,reviews_count,category,pack_size,url,source
Чай,чай габа,223925781,"Чай китайский Габа фермерская, 100г",VitaLabActiv,,,,4.8,116,Чай,100 г,https://www.wildberries.ru/catalog/223925781/detail.aspx,wildberries
Чай,чай габа,233291034,Габа Манго 100 гр,,,,,4.9,107,Чай,100 г,https://www.wildberries.ru/catalog/233291034/detail.aspx,wildberries
Чай,чай габа,752122378,"Чай Габа медовая, 200 г",Life Leaf,,,,5.0,8,Чай,200 г,https://www.wildberries.ru/catalog/752122378/detail.aspx,wildberries
Чай,чай габа,114445664,Габа Фермерская Манго 50 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,50 г,https://www.wildberries.ru/catalog/114445664/detail.aspx,wildberries
Чай,чай габа,379891683,"Чай зеленый листовой китайский улун Габа фермерская, 200 г",TiSun,,,,4.8,71,Чай,200 г,https://www.wildberries.ru/catalog/379891683/detail.aspx,wildberries
Чай,чай габа,114445667,Габа Фермерская Клубника 100 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,100 г,https://www.wildberries.ru/catalog/114445667/detail.aspx,wildberries
Чай,чай габа,917656975,Чай Габа Алишань 100 г,Life Leaf,,,,5.0,6,Чай,100 г,https://www.wildberries.ru/catalog/917656975/detail.aspx,wildberries
Чай,чай габа,397081075,Чай Габа Медовая 50г,Чайный Волшебник,,,,0.0,0,Чай,50 г,https://www.wildberries.ru/catalog/397081075/detail.aspx,wildberries
Чай,чай габа,597266875,"Чай Габа, Набор Подарочный, «Три Тайваня»",,,,,5.0,1,Чай,,https://www.wildberries.ru/catalog/597266875/detail.aspx,wildberries
Чай,чай габа,901899307,Габа Весенняя Цин Сян 50 грамм,Чайная мастерская,,,,4.7,20,Чай,50 г,https://www.wildberries.ru/catalog/901899307/detail.aspx,wildberries
Чай,чай габа,370853215,Габа тайваньский улун чай 50 гр,Китайский чай у Царицы,,,,4.9,37,Чай,50 г,https://www.wildberries.ru/catalog/370853215/detail.aspx,wildberries
Чай,чай габа,855943793,Габа Алишань Медовая 100 грамм,HOLFY,,,,4.9,55,Чай,100 г,https://www.wildberries.ru/catalog/855943793/detail.aspx,wildberries
Чай,чай габа,205638605,Габа чай Блэк Джек 100 грамм,Taiwan Tea,,,,4.7,116,Чай,100 г,https://www.wildberries.ru/catalog/205638605/detail.aspx,wildberries
Чай,чай габа,429979946,"Чай габа ""Лесная"", китайский улун, 100 г",ЧАЁК,,,,4.9,35,Чай,100 г,https://www.wildberries.ru/catalog/429979946/detail.aspx,wildberries
Чай,чай габа,77023026,Габа Алишань 200 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,200 г,https://www.wildberries.ru/catalog/77023026/detail.aspx,wildberries
Чай,чай габа,595429444,Китайский чай Габа Диамант красная улун подарочный в банке…,iTEA,,,,4.8,72,Чай,,https://www.wildberries.ru/catalog/595429444/detail.aspx,wildberries
Чай,чай габа,54803586,"Габа чай Алишань красная, тайваньский улун оолонг, 100 г",Другой чай,,,,4.9,80,Чай,100 г,https://www.wildberries.ru/catalog/54803586/detail.aspx,wildberries
